"year","CI_high","CI_low","LPI_final","npops","nsp","threshold","pct"
"2019",1.04837099579959,0.894281226357257,0.969186756514844,3724,799,-1.05920377865063,"5%"
"2020",1.0571866916723,0.90217552612764,0.977469898821307,3724,799,-1.05920377865063,"5%"
"2021",1.06623774532586,0.908691520693169,0.985490957185724,3724,799,-1.05920377865063,"5%"
"2022",1.07272189293152,0.911152654650284,0.990148634123722,3724,799,-1.05920377865063,"5%"
"1970",1,1,1,3274,711,-0.779482926228256,"10%"
"1971",1.01412702719331,1.00047564347031,1.0074428890128,3274,711,-0.779482926228256,"10%"
"1972",1.0253871581628,1.00121986671132,1.01352517919573,3274,711,-0.779482926228256,"10%"
"1973",1.03199275538758,0.998691222926622,1.01544804611798,3274,711,-0.779482926228256,"10%"
"1974",1.0353495835973,0.995331304547512,1.01509882090543,3274,711,-0.779482926228256,"10%"
"1975",1.03936131780526,0.992844385154858,1.01574161624938,3274,711,-0.779482926228256,"10%"
"1976",1.04042497791503,0.987753243251417,1.01347611156906,3274,711,-0.779482926228256,"10%"
"1977",1.03612033445693,0.978507894061838,1.00621985574382,3274,711,-0.779482926228256,"10%"
"1978",1.03311138412077,0.972399128694657,1.00144297529788,3274,711,-0.779482926228256,"10%"
"1979",1.03561599157572,0.97166880632669,1.00257231963347,3274,711,-0.779482926228256,"10%"
"1980",1.04259572413333,0.974969476643242,1.00773456297415,3274,711,-0.779482926228256,"10%"
"1981",1.04901901191473,0.977469508242098,1.01228246466935,3274,711,-0.779482926228256,"10%"
"1982",1.05047572280946,0.975844233295634,1.01190881511475,3274,711,-0.779482926228256,"10%"
"1983",1.05198824568368,0.974888793566524,1.01200021935854,3274,711,-0.779482926228256,"10%"
"1984",1.05607369291338,0.975249859159579,1.01434387500806,3274,711,-0.779482926228256,"10%"
"1985",1.06058552067094,0.977352470962106,1.01778259271949,3274,711,-0.779482926228256,"10%"
"1986",1.06588099383228,0.979544006648009,1.02143013426466,3274,711,-0.779482926228256,"10%"
"1987",1.06744084893157,0.978937389795615,1.02183984343054,3274,711,-0.779482926228256,"10%"
"1988",1.07133082666253,0.980281733513206,1.02438802070316,3274,711,-0.779482926228256,"10%"
"1989",1.07478678295967,0.980634891706511,1.02621251114446,3274,711,-0.779482926228256,"10%"
"1990",1.07675264124164,0.980593234546779,1.02728883956501,3274,711,-0.779482926228256,"10%"
"1991",1.07233170177442,0.973712760195648,1.02138424846353,3274,711,-0.779482926228256,"10%"
"1992",1.06845611831025,0.965433578339192,1.01523936680539,3274,711,-0.779482926228256,"10%"
"1993",1.07105061112391,0.96648975605351,1.01701440965097,3274,711,-0.779482926228256,"10%"
"1994",1.07771358741171,0.969117425135063,1.02159066594943,3274,711,-0.779482926228256,"10%"
"1995",1.07793157343633,0.966017616784141,1.02022706776575,3274,711,-0.779482926228256,"10%"
"1996",1.07753648949365,0.964297201438648,1.01893104194057,3274,711,-0.779482926228256,"10%"
"1997",1.07028278362224,0.958069023637144,1.01242035202016,3274,711,-0.779482926228256,"10%"
"1998",1.05251947426002,0.941242158162791,0.995325983445377,3274,711,-0.779482926228256,"10%"
"1999",1.0343884554262,0.923461682144792,0.977792587664997,3274,711,-0.779482926228256,"10%"
"2000",1.02476648427563,0.91183081666929,0.966713736087499,3274,711,-0.779482926228256,"10%"
"2001",1.01810118004391,0.902872823775196,0.958435087630725,3274,711,-0.779482926228256,"10%"
"2002",1.0135959259502,0.895834250401648,0.95258772733188,3274,711,-0.779482926228256,"10%"
"2003",1.00651764110022,0.889257787767002,0.945909346117424,3274,711,-0.779482926228256,"10%"
"2004",1.00101777274033,0.884686175624942,0.941125368466703,3274,711,-0.779482926228256,"10%"
"2005",1.00438308910926,0.887516901559471,0.944078228041278,3274,711,-0.779482926228256,"10%"
"2006",1.00833195040125,0.889576532066712,0.946937842218409,3274,711,-0.779482926228256,"10%"
"2007",1.01322191689972,0.893160771237821,0.951235212374976,3274,711,-0.779482926228256,"10%"
"2008",1.01268321920889,0.892490509932694,0.950319270234045,3274,711,-0.779482926228256,"10%"
"2009",1.00910000998513,0.889459095308603,0.947105188212293,3274,711,-0.779482926228256,"10%"
"2010",1.00718901630905,0.887655410532033,0.945308172281243,3274,711,-0.779482926228256,"10%"
"2011",1.0060317340948,0.885528851673973,0.943783368585678,3274,711,-0.779482926228256,"10%"
"2012",1.00707131283615,0.884585765458431,0.943836545649813,3274,711,-0.779482926228256,"10%"
"2013",1.0104826149694,0.886745825304154,0.946292052780173,3274,711,-0.779482926228256,"10%"
"2014",1.0144512013964,0.889653027061648,0.949733350047735,3274,711,-0.779482926228256,"10%"
"2015",1.02110308447356,0.894504434966331,0.955407757812674,3274,711,-0.779482926228256,"10%"
"2016",1.02503778310526,0.89683283476549,0.958612960815435,3274,711,-0.779482926228256,"10%"
"2017",1.02354281031306,0.895345003401191,0.956847915736843,3274,711,-0.779482926228256,"10%"
"2018",1.02033242281021,0.89243617389719,0.954059885475598,3274,711,-0.779482926228256,"10%"
"2019",1.02505389078508,0.897477998495824,0.958661136662022,3274,711,-0.779482926228256,"10%"
"2020",1.03369140073007,0.905676503991122,0.966901004507735,3274,711,-0.779482926228256,"10%"
"2021",1.04391939743719,0.914221778362325,0.975928701586636,3274,711,-0.779482926228256,"10%"
"2022",1.05369362375373,0.919694175550951,0.983214826907294,3274,711,-0.779482926228256,"10%"
"1970",1,1,1,2701,621,-0.603726379357955,"15%"
"1971",1.01077189496833,0.998112642505572,1.0044550001047,2701,621,-0.603726379357955,"15%"
"1972",1.02347724484478,1.00043925313936,1.01185289828518,2701,621,-0.603726379357955,"15%"
"1973",1.0326971640875,1.00037088655182,1.01641165079932,2701,621,-0.603726379357955,"15%"
"1974",1.03602508158481,0.997381634001199,1.01651102730521,2701,621,-0.603726379357955,"15%"
"1975",1.0401558935972,0.995670878799845,1.01770062261165,2701,621,-0.603726379357955,"15%"
"1976",1.0408277238535,0.990343279000784,1.01535891534616,2701,621,-0.603726379357955,"15%"
"1977",1.03782524868875,0.980490992926924,1.00837418441208,2701,621,-0.603726379357955,"15%"
"1978",1.03489572386157,0.973640673174652,1.00336634514374,2701,621,-0.603726379357955,"15%"
"1979",1.0356938526995,0.971575453865644,1.0032202428334,2701,621,-0.603726379357955,"15%"
"1980",1.04064169297767,0.97321513942883,1.00652601661053,2701,621,-0.603726379357955,"15%"
"1981",1.04608896058137,0.973745805712056,1.00958909528912,2701,621,-0.603726379357955,"15%"
