population_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
520,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3304,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519,1,0.00135667611937329,0.00135667611937329,0.00135667611937329,0.00135667611937329,0.00135667611937329,0.00135667611937329,0.00135667611937329,0.00135667611937329,0.00135667611937329,0.00135667611937329,0.00135667611937329,0.00135667611937329,0.0013566761193724,0.00135667611937329,0.00135667611937329,0.00135667611937329,NA
2752,1,-0.0125743964371119,-0.0125743964371119,-0.0125743964371123,-0.0125743964371119,-0.0125743964371114,-0.0125743964371119,-0.0125743964371123,-0.0125743964371119,-0.0125743964371119,-0.0125743964371119,-0.0125743964371119,NA,NA,NA,NA,NA,NA
2754,1,-0.0206534411698236,-0.0206534411699542,-0.0206534411701398,-0.0206534411703805,-0.0206534411706434,-0.0206534411709232,-0.0206534411711905,-0.0206534411714383,-0.0206534411716506,-0.0206534411718229,-0.0206534411719508,-0.0206534411720316,-0.0206534411720725,NA,NA,NA,NA
3287,1,-0.0507455347497308,-0.0507455347497494,-0.0507455347497849,-0.0507455347498373,-0.050745534749912,-0.0507455347499972,-0.050745534750098,-0.0507455347502055,-0.0507455347503161,-0.050745534750424,-0.050745534750527,-0.0507455347506185,-0.0507455347506944,-0.0507455347507526,-0.0507455347507895,-0.0507455347508081,NA
2753,1,NA,-0.0177446708414267,-0.0177446708405468,-0.0177446708389936,-0.0177446708373195,-0.0177446708360673,-0.0177446708354521,-0.0177446708353211,-0.0177446708353616,NA,NA,NA,NA,NA,NA,NA,NA
3307,1,NA,NA,0.106235541523186,0.106235541523186,0.106235541523186,0.106235541523186,0.106235541523185,0.106235541523186,0.106235541523186,0.106235541523186,0.106235541523186,NA,NA,NA,NA,NA,NA
2755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
637,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1078,1,-0.0169511464612784,-0.0169511464612793,-0.0169511464612784,-0.0169511464612784,-0.0169511464612784,-0.0169511464612793,-0.0169511464612784,-0.0169511464612793,-0.0169511464612775,-0.0169511464612793,-0.0169511464612793,-0.0169511464612784,-0.0169511464612784,-0.0169511464612784,-0.0169511464612793,-0.0169511464612784,NA
1080,1,-0.00193463404480854,-0.00193463404480854,-0.00193463404480809,-0.00193463404480854,-0.00193463404480854,-0.00193463404480809,-0.00193463404480854,-0.00193463404480854,-0.00193463404480854,-0.00193463404480854,-0.00193463404480809,NA,NA,NA,NA,NA,NA
3223,1,-0.0713067975964163,-0.0643466773308665,-0.0541163773100104,-0.0409584031323762,-0.0260562168565439,-0.010028387466039,0.00583427116361257,0.0209546849881326,0.0343153717059037,0.045509804478546,0.0539293582541314,0.059452006103391,0.0621982653611655,NA,NA,NA,NA
1079,1,-0.00311898385684994,-0.00311898385685438,-0.00311898385686415,-0.00311898385688192,-0.00311898385690768,-0.00311898385694231,-0.00311898385699205,-0.0031189838570489,-0.00311898385711551,-0.00311898385719189,-0.0031189838572665,-0.00311898385734111,-0.00311898385740594,-0.00311898385745835,-0.0031189838574921,-0.00311898385750897,NA
1081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2029,1,-0.0572195213989506,-0.0572195213989524,-0.0572195213989515,-0.0572195213989524,-0.0572195213989506,-0.0572195213989524,-0.0572195213989515,-0.0572195213989515,-0.0572195213989515,-0.0572195213989515,NA,NA,NA,NA,NA,NA,NA
2031,1,0.113954746525567,0.113954746525568,0.113954746525568,0.113954746525568,0.113954746525568,0.113954746525568,0.113954746525568,0.113954746525568,0.113954746525568,0.113954746525568,0.113954746525568,NA,NA,NA,NA,NA,NA
2030,1,-0.273838629105622,-0.256500551634298,-0.222632682107291,-0.175468162187131,-0.118341650837543,-0.061358642250898,-0.00917571442891951,0.0296863148138575,0.0527647707192118,0.0587297720688236,0.0487610597242325,0.0289074783499368,0.00279081580590113,-0.0211506211324961,-0.0398833366014193,-0.0497116539208804,NA
643,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3305,1,0.064293172072202,0.0642931720722029,0.0642931720722029,0.0642931720722029,0.064293172072202,0.0642931720722029,0.0642931720722029,0.064293172072202,0.0642931720722029,0.0642931720722029,0.0642931720722029,0.0642931720722011,0.0642931720722029,0.0642931720722029,NA,NA,NA
1431,1,0.0766935907206805,0.0766935907206805,0.07669359072068,0.0766935907206805,0.0766935907206805,0.0766935907206805,0.0766935907206809,0.0766935907206803,0.0766935907206805,0.0766935907206803,0.0766935907206805,NA,NA,NA,NA,NA,NA
3006,1,0.0568399294116952,0.0568399294118196,0.0568399294119759,0.0568399294121393,0.0568399294122601,0.0568399294123187,0.0568399294122877,0.0568399294121731,0.0568399294119981,0.0568399294117885,0.0568399294115984,0.0568399294114492,0.0568399294113711,NA,NA,NA,NA
3157,1,0.00227176993494105,0.00227176993515688,0.0022717699355761,0.00227176993613476,0.00227176993678846,0.00227176993740397,0.00227176993793066,0.0022717699382877,0.00227176993846356,0.00227176993848399,0.00227176993837919,0.00227176993824063,0.00227176993810296,0.00227176993802747,NA,NA,NA
1432,1,NA,0.0395311061164372,0.0395311061164372,0.0395311061164367,0.0395311061164372,0.0395311061164376,0.0395311061164372,0.0395311061164372,0.0395311061164372,0.0395311061164372,0.039531106116437,NA,NA,NA,NA,NA,NA
3316,1,NA,0.0121320335741268,0.0121320335741277,0.0121320335741268,0.0121320335741268,0.0121320335741277,0.0121320335741277,0.0121320335741268,0.0121320335741268,0.0121320335741268,0.0121320335741277,0.0121320335741277,0.0121320335741268,0.0121320335741268,0.0121320335741268,NA,NA
3722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2696,1,0.00751959573224781,0.00751959573224781,0.00751959573224692,0.00751959573224781,0.00751959573224692,0.00751959573224781,0.00751959573224781,0.00751959573224781,0.00751959573224692,0.00751959573224781,0.00751959573224692,0.00751959573224781,0.00751959573224781,0.00751959573224781,0.00751959573224692,0.00751959573224781,NA
2698,1,0.0333130470351022,0.0333130470351026,0.0333130470351024,0.0333130470351023,0.0333130470351023,0.0333130470351024,0.0333130470351023,0.0333130470351025,0.0333130470351023,0.0333130470351024,0.0333130470351024,NA,NA,NA,NA,NA,NA
3274,1,0.0336917492597317,0.0310495553792443,0.0273520557536919,0.0228215190781897,0.0181107612930926,0.013506528786646,0.00950299117149722,0.00624579475429421,0.00382335514897925,0.00220764739464663,0.00119815603374107,0.000689854599690953,0.000463152683757961,NA,NA,NA,NA
2697,1,-0.0492773561531834,-0.0486806268714357,-0.0474522398795383,-0.0454524814638768,-0.042642099689215,-0.0390038005282189,-0.0345655276282928,-0.0294563496064102,-0.0237901612344267,-0.0178934729828155,-0.0119673741131878,-0.00648971120151476,-0.00168660074604166,0.00201533783624619,0.00450291149109994,0.00574996741852551,NA
2699,1,NA,0.00927153620816146,0.00927153620816146,0.00927153620816101,0.00927153620816146,0.00927153620816146,0.00927153620816101,0.00927153620816146,0.00927153620816146,0.00927153620816101,0.00927153620816146,NA,NA,NA,NA,NA,NA
3275,1,NA,0.00458707335765629,0.00458707335765629,0.00458707335765629,0.00458707335765629,0.00458707335765718,0.00458707335765585,0.00458707335765629,0.00458707335765629,0.00458707335765629,0.00458707335765629,0.00458707335765629,0.00458707335765673,0.00458707335765629,0.00458707335765629,NA,NA
3105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
666,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1197,1,0.000368557557128391,0.000368557557126614,0.000368557557127502,0.000368557557126614,0.000368557557127502,0.000368557557127502,0.000368557557127502,0.000368557557127502,0.000368557557126614,0.000368557557127502,0.000368557557126614,0.000368557557127502,0.000368557557127502,0.000368557557127502,0.000368557557127502,0.000368557557126614,NA
1199,1,0.00177079598378471,0.00177079598378493,0.00177079598378471,0.00177079598378493,0.00177079598378471,0.00177079598378471,0.00177079598378493,0.00177079598378471,0.00177079598378471,0.00177079598378493,0.00177079598378471,NA,NA,NA,NA,NA,NA
3227,1,-0.00743603738301957,-0.0124430940732916,-0.0178349338564452,-0.0223898584571209,-0.0231044038870145,-0.0189845789083032,-0.00905788255803852,0.00631455788096513,0.0247157323144727,0.0445101545830626,0.0615728901432986,0.0743915408153546,0.0810414484233641,NA,NA,NA,NA
1198,1,-0.0671143644526486,-0.0663038053347274,-0.0645495455453764,-0.0613190188705541,-0.0563485533829668,-0.0491160275874769,-0.0394786787231238,-0.0273875772411882,-0.0130372232406328,0.00274545333401921,0.0193572148278562,0.0352120405657725,0.0495237276488929,0.0607334851568284,0.0683903757268087,0.0722494408281378,NA
