"","CI_high","CI_low","LPI_final","n_points"
"19761",1.06167041873543,0.984802300182289,1.02231900415341,3
"19771",1.06202095514474,0.978308922622217,1.01888675479994,3
"19781",1.0660606744905,0.976657279094493,1.01969803349002,3
"19791",1.0737082034904,0.981418698722024,1.02594098445565,3
"19801",1.0854583831348,0.989286859756358,1.03587864030662,3
"19811",1.0967342112722,0.995381148906815,1.04443920696796,3
"19821",1.10151144658746,0.994566433945946,1.04639162563539,3
"19831",1.10847830169503,0.995055190118059,1.04984988567686,3
"19841",1.11862678935859,0.999092053490732,1.05685548082145,3
"19851",1.13132729179038,1.00625668493255,1.06647346059648,3
"19861",1.13902842325948,1.01081781628511,1.0725863340837,3
"19871",1.1427620486542,1.01132006127329,1.07428551965986,3
"19881",1.14780713183638,1.0132862842253,1.07777773853701,3
"19891",1.15226651626605,1.01403409358965,1.07994237169112,3
"19901",1.15720984121604,1.01474024716576,1.08247761634559,3
"19911",1.15653471885415,1.00918108735178,1.07894580337814,3
"19921",1.1536476439078,1.00241239047543,1.07417208458716,3
"19931",1.16256010926099,1.00414831941066,1.07927856764957,3
"19941",1.17864742414473,1.01134381052836,1.09053065329049,3
"19951",1.18616937167326,1.01337885987687,1.0951390017569,3
"19961",1.19697617699748,1.02086674991945,1.10374633092623,3
"19971",1.20022947612663,1.02157312851388,1.1061529004883,3
"19981",1.19191294417343,1.01183743351102,1.09689951694369,3
"19991",1.1822576265654,0.997716213852589,1.08497808943487,3
"20001",1.17503236672326,0.987259992834452,1.07632869558927,3
"20011",1.16997186162929,0.979171174013833,1.06927195429901,3
"20021",1.16432445965722,0.969238723003739,1.06162048250711,3
"20031",1.16002784764356,0.963129734414819,1.05639071585544,3
"20041",1.16366020224405,0.964111726708796,1.05842591767898,3
"20051",1.17168464464083,0.969637721309652,1.06601884037778,3
"20061",1.17734857095544,0.971083338720905,1.07007376926552,3
"20071",1.18500596084251,0.974893175580609,1.07517087674197,3
"20081",1.18668866072857,0.972682518381294,1.07374575494617,3
"20091",1.18333398598683,0.965406035694485,1.06838198179098,3
"20101",1.18109511661438,0.960112308447117,1.06421018433845,3
"20111",1.18004996210455,0.956022036745605,1.06186818082174,3
"20121",1.18130359164147,0.952585266268135,1.06061811721773,3
"20131",1.18574069624928,0.953070211721783,1.06322339974443,3
"20141",1.1928034354673,0.955947107790185,1.06735089203885,3
"20151",1.20438336420034,0.96276057393729,1.07540147409105,3
"20161",1.21139872037749,0.966582586561679,1.08117542575673,3
"20171",1.2081837522044,0.962856131388129,1.07739789886234,3
"20181",1.20148127449507,0.956585755198605,1.07137301071128,3
"20191",1.20662007206524,0.958154317837543,1.07441282574925,3
"20201",1.21617896983667,0.962051501588194,1.08040460690742,3
"20211",1.22533153515335,0.966071907549882,1.08690241993946,3
"20221",1.23269512088852,0.966209153356993,1.08978000164367,3
"19702",1,1,1,6
"19712",1.02378508864226,1.00674033797134,1.01519719066692,6
"19722",1.04419012296573,1.01305116866893,1.02835159536371,6
"19732",1.05792404686593,1.01397811505977,1.03564789229639,6
"19742",1.07094084022499,1.01629524311321,1.04275501882882,6
"19752",1.08311953800012,1.01759389238993,1.0489110945354,6
"19762",1.09113788592157,1.01846114929341,1.05327344960325,6
"19772",1.09321380229153,1.0144227032385,1.05243233342784,6
"19782",1.09355495785102,1.01058390389551,1.05099649071426,6
"19792",1.10098586415747,1.01318829753336,1.05621854721549,6
"19802",1.11233947565963,1.01923019668386,1.06483879617093,6
"19812",1.12211956130871,1.02458378897882,1.07232126023286,6
"19822",1.12859218485987,1.02587276252917,1.07624521662089,6
"19832",1.13461489125757,1.02618183821512,1.07953712970515,6
"19842",1.14335792885151,1.02957425235161,1.08501589827056,6
"19852",1.15527153901152,1.03646008808379,1.09454230106885,6
"19862",1.16675237647252,1.04399391296757,1.10372799904367,6
"19872",1.17217512064674,1.04690390893608,1.10808209533289,6
"19882",1.18050696766262,1.05241216441445,1.1144589315152,6
"19892",1.18834447646476,1.05632367357914,1.12016036280598,6
"19902",1.19629979092164,1.05890716576158,1.12531693084476,6
"19912",1.19902524624983,1.05510085257006,1.1252462945671,6
"19922",1.20033625379869,1.0496494527293,1.12219176607928,6
"19932",1.20685178093676,1.05017728550676,1.12543586404603,6
"19942",1.21866890548659,1.05492906464141,1.13338437409002,6
"19952",1.22719705091754,1.05762714934198,1.13892665471377,6
"19962",1.23659803013966,1.06194240323192,1.14521101795675,6
"19972",1.23914831925448,1.06219341805596,1.14603819540484,6
"19982",1.23245284623873,1.0532259113736,1.1379043814087,6
"19992",1.22397490395871,1.04207689250022,1.12803994864746,6
"20002",1.21949417749505,1.03430054524696,1.12188341222377,6
"20012",1.21841064581471,1.02876663953898,1.11845453270056,6
"20022",1.21517141965814,1.02189600772162,1.11379180173665,6
"20032",1.2132895345652,1.01596805126985,1.1102468152884,6
"20042",1.21822194440921,1.01803340621659,1.11342075444826,6
"20052",1.22956785657741,1.02615284865036,1.12333509414459,6
"20062",1.24002126278344,1.03223483735608,1.1317596959855,6
"20072",1.24952147879526,1.03655085616826,1.13853564094048,6
"20082",1.25272386331031,1.0354039431083,1.13888099340309,6
"20092",1.25332007835188,1.03151568655303,1.13730116836303,6
"20102",1.25363218915823,1.02817933114465,1.13529425056557,6
"20112",1.2526882923036,1.02314034190921,1.13243875287588,6
"20122",1.25469322028246,1.02164790753606,1.1322865085324,6
"20132",1.25811207431866,1.02081448469213,1.13349782179161,6
"20142",1.26222629570062,1.02135474079095,1.13572120183724,6
"20152",1.26895678280435,1.02501241976437,1.14083193975085,6
"20162",1.27350325507021,1.02717467140224,1.14420775754781,6
"20172",1.27085972534842,1.0228737349176,1.14113093194437,6
"20182",1.26362815834715,1.01528677380466,1.13380552462129,6
"20192",1.26729088047612,1.01500419613265,1.13511282406695,6
"20202",1.27234957935557,1.01789882394909,1.13879284431894,6
"20212",1.27824023094255,1.02092851514374,1.14288491183327,6
"20222",1.281238571547,1.01948077464317,1.1432693232491,6
"19703",1,1,1,15
"19713",1.03156106174344,1.01517600471302,1.02338447252906,15
"19723",1.05686869704696,1.02766270992209,1.04217677576735,15
"19733",1.07364501763175,1.03301982365465,1.05324304579167,15
"19743",1.08830806937367,1.03800383447704,1.06284010308126,15
"19753",1.10125060422831,1.04347621830763,1.07193284997716,15
"19763",1.1099626685975,1.04578784469865,1.07735577858911,15
"19773",1.11510610273488,1.04354786735515,1.07863765336398,15
"19783",1.12101887932678,1.04220586860133,1.08070208387992,15
"19793",1.13125857773796,1.04527232294409,1.0868511762536,15
"19803",1.14460738270274,1.05155803949975,1.09647102345405,15
