"year","CI_high","CI_low","LPI_final","n_points"
"1989",1.04850890924375,0.92433177515409,0.984272113586464,3
"1990",1.04608044054596,0.919408211872036,0.980688587313802,3
"1991",1.04275041253406,0.912675507338426,0.975476124591124,3
"1992",1.04047910999476,0.906169313867653,0.970761355912233,3
"1993",1.04565613044779,0.906671185260022,0.973173044203925,3
"1994",1.05517151476542,0.911157981699735,0.979886683729666,3
"1995",1.05890087556173,0.910967267578229,0.981409426591635,3
"1996",1.06410333577966,0.913914463753389,0.985184032556281,3
"1997",1.06305582168657,0.911733459222819,0.983668887651916,3
"1998",1.05492081151025,0.902554206451065,0.974759008192872,3
"1999",1.0459551215419,0.891138189094937,0.964233931667817,3
"2000",1.0376430840025,0.881039371239493,0.955106356576805,3
"2001",1.0355129644043,0.87718742282229,0.951831064413902,3
"2002",1.03481670145384,0.872919276639259,0.949290808354786,3
"2003",1.03541758671891,0.870222645700296,0.947878450535172,3
"2004",1.03645856169445,0.869067571462808,0.947813542318012,3
"2005",1.03971690404548,0.869610369159599,0.949588199798299,3
"2006",1.03936286606831,0.867227308071174,0.948306741304291,3
"2007",1.0402231934576,0.865464718378546,0.948108508968305,3
"2008",1.03585791134509,0.859431803250064,0.942752211200289,3
"2009",1.02923262519883,0.851364031277845,0.935710206989275,3
"2010",1.02370262632201,0.843791961861817,0.928786285460708,3
"2011",1.01785380522224,0.837215476875952,0.92256218326432,3
"2012",1.01133278185966,0.82904715477101,0.91527448105783,3
"2013",1.00959254824194,0.824327887088326,0.912042600685779,3
"2014",1.01056177845053,0.822268156009775,0.911151893643842,3
"2015",1.01602710709483,0.824237563123096,0.914747893986143,3
"2016",1.02097147155529,0.825901832079505,0.917935060326489,3
"2017",1.01809521618277,0.821250547539305,0.913590731535856,3
"2018",1.01071324995686,0.813995940214779,0.905758692674327,3
"2019",1.01001846767541,0.812579811895414,0.905111888698636,3
"2020",1.01262591747251,0.812560832807429,0.90654369856612,3
"2021",1.01602136813579,0.812161959118677,0.908750052396068,3
"2022",1.01313688103175,0.805896382126057,0.904732000407225,3
"1970",1,1,1,6
"1971",1.01998071146305,1.00381338719651,1.01172424741193,6
"1972",1.03608340793116,1.00668972428049,1.02102819408693,6
"1973",1.0461272883665,1.00524584214042,1.02515094084618,6
"1974",1.05628058781179,1.00497312414898,1.0298045324859,6
"1975",1.06606027352547,1.00482141706914,1.03446986908794,6
"1976",1.07286486506142,1.00571381608157,1.0380952586903,6
"1977",1.0744958707487,1.00232689644906,1.03721534089434,6
"1978",1.07492985568018,0.998345362045281,1.03538606748284,6
"1979",1.08036126145162,0.999754690729562,1.03862621105578,6
"1980",1.08849031974374,1.00349679959797,1.04493938011213,6
"1981",1.0959120564255,1.00606266728799,1.04941369892929,6
"1982",1.09866024468547,1.00461938128943,1.04988554142291,6
"1983",1.10068584977054,1.00159644111855,1.04932659505973,6
"1984",1.10503894846774,1.00006242195423,1.05026380387916,6
"1985",1.11197261476691,1.00173520057999,1.05439945199451,6
"1986",1.11758202829019,1.0038696619878,1.05821635315823,6
"1987",1.11895999460656,1.00265169159417,1.0579584909157,6
"1988",1.12242647326316,1.00420709443447,1.06037563837796,6
"1989",1.12522998049155,1.00521614000263,1.06218326055236,6
"1990",1.12913968899982,1.00490588616442,1.06387296912399,6
"1991",1.12868600898287,0.999235111416748,1.06068631872886,6
"1992",1.1267586268439,0.991965779379396,1.05581841021423,6
"1993",1.13115743353936,0.990826198795712,1.05710276161733,6
"1994",1.1404905395121,0.993505788025815,1.06286777191146,6
"1995",1.14628942462285,0.993989842716919,1.06600037744239,6
"1996",1.15052341058388,0.995376687012736,1.068590838271,6
"1997",1.14896645402443,0.992319748404962,1.06670858671454,6
"1998",1.14185768131467,0.984022646080591,1.05866438128207,6
"1999",1.13383034413911,0.974015762013879,1.04930461910046,6
"2000",1.12761026032024,0.965199541673836,1.04185034111658,6
"2001",1.13025177286087,0.963820844241271,1.04205701421318,6
"2002",1.13361147643824,0.962451082080101,1.04248221522664,6
"2003",1.13613922737277,0.960419688891478,1.04257109963387,6
