"year","CI_high","CI_low","LPI_final","period"
"2004",1.11842901295239,0.949699727580511,1.03030367283886,15
"2005",1.12629177135573,0.954031742110117,1.03620109069353,15
"2006",1.13300298653661,0.958031720365045,1.04142117337196,15
"2007",1.13589343599655,0.958032351424703,1.04270745737296,15
"2008",1.13371356628361,0.953917512942477,1.03920624374982,15
"2009",1.12943697159332,0.947765261936311,1.03399925538602,15
"2010",1.12515394379004,0.942882541834539,1.02947092767842,15
"2011",1.12232653893562,0.938029727190737,1.02575518917845,15
"2012",1.11962097556726,0.933792365928612,1.02247442798262,15
"2013",1.11865157800978,0.929282410711744,1.01995718985326,15
"2014",1.1198579116412,0.928482423838567,1.01984818388654,15
"2015",1.1244757831845,0.930601377420709,1.02239448060575,15
"2016",1.12542155383995,0.929349965682746,1.02227264282149,15
"2017",1.12093683953583,0.92330217214119,1.01709112270462,15
"2018",1.11056378656558,0.913102808302578,1.00617433623798,15
"2019",1.10658980419598,0.908063223068434,1.00113563066031,15
"2020",1.10502582619983,0.904766407507843,0.998063084609255,15
"2021",1.10189104996969,0.900470521704577,0.995172937442689,15
"2022",1.09754818288714,0.890645143816445,0.987137328370565,15
"1970",1,1,1,20
"1971",1.02459985268081,1.01017966777725,1.01760338112092,20
"1972",1.04346617167327,1.01796007638809,1.0310875115185,20
"1973",1.05600666213599,1.0199517386975,1.03808677943607,20
"1974",1.06678410544603,1.0225464692329,1.04460659538275,20
"1975",1.07689773209493,1.02604146846516,1.05136561996228,20
"1976",1.08433935168312,1.02769429591325,1.05596942527011,20
"1977",1.09037933179995,1.02717764763882,1.05846621256083,20
"1978",1.09721034484562,1.02722215499072,1.06156515431563,20
"1979",1.10656237619863,1.03048716901896,1.06766058743354,20
"1980",1.11753078428105,1.03565114482439,1.07560837153747,20
"1981",1.12482483665353,1.03777479441547,1.08024321745276,20
"1982",1.12656565310628,1.03561239558981,1.08013294004435,20
"1983",1.1270509159878,1.03222785476543,1.0789157567641,20
"1984",1.12916832182772,1.03021240499919,1.07913528423442,20
"1985",1.13410200190274,1.0308230902474,1.08172244881386,20
"1986",1.13837959516978,1.03200331769493,1.08429107201465,20
"1987",1.14032086432719,1.03199206784513,1.08535802334339,20
"1988",1.14314267165188,1.03141050506218,1.08661302886198,20
"1989",1.14712353065391,1.03177677245806,1.08825301182347,20
"1990",1.15161877178068,1.03270761541879,1.0906833510942,20
"1991",1.15266222671572,1.0287835097439,1.08873171470933,20
"1992",1.14992006714156,1.0212256045051,1.08386383036813,20
"1993",1.15410850936963,1.02043039896719,1.08481391434084,20
"1994",1.15962410726142,1.01982346383503,1.08711956739906,20
"1995",1.16411910521529,1.01936830244263,1.08917342360925,20
"1996",1.16795967012488,1.01823765832494,1.09013724331667,20
"1997",1.16570348310807,1.01456518516758,1.08711250217463,20
"1998",1.15774228162803,1.0056531846298,1.07839419417546,20
"1999",1.14729313355118,0.993846691556435,1.06727268324929,20
"2000",1.13765368194138,0.982212375645586,1.05637999814855,20
"2001",1.13302598297525,0.976084561383017,1.05090589383218,20
"2002",1.13344208462209,0.973850804145377,1.04958433892384,20
"2003",1.13703248717336,0.974630313482394,1.05179184890165,20
"2004",1.14088629161903,0.974964683662644,1.0536873817007,20
"2005",1.14422907338727,0.975516413527594,1.05574440083398,20
"2006",1.14562650448323,0.973360638154116,1.0553711220455,20
"2007",1.1415864805747,0.966764651386685,1.04994419001262,20
"2008",1.13377527304085,0.956252581056262,1.04052902136925,20
"2009",1.12615994399786,0.946632429897291,1.03123846757667,20
"2010",1.12101531252145,0.939205158868955,1.02493572113684,20
"2011",1.11786026504994,0.934547421927183,1.02110658675482,20
"2012",1.11536003785341,0.929881355316614,1.01716702665861,20
"2013",1.11090321930112,0.923643830303208,1.01190311336785,20
"2014",1.10712422347101,0.918693530285994,1.00737741297358,20
"2015",1.1073622161289,0.915723938140605,1.00587556845089,20
"2016",1.10532915799534,0.912346029560597,1.003214099984,20
"2017",1.10038354483316,0.905871013212991,0.997678247732475,20
"2018",1.09385183731846,0.89839758958989,0.990448357588798,20
"2019",1.08926408578789,0.892463275695771,0.984776531370756,20
"2020",1.08974571103092,0.889490746952966,0.983265985955257,20
"2021",1.09468477824175,0.890162575827925,0.985940863745347,20
"2022",1.10037821091142,0.888857852773578,0.988612319517902,20
