Binomial	ID	year	popvalue
Ambystoma_maculatum	30_2	1987	238
Ambystoma_maculatum	31_3	1987	438
Chelydra_serpentina	172_1	1987	5
Chelydra_serpentina	173_2	1987	22
Chelydra_serpentina	725_4	1987	57
Chelydra_serpentina	4090_7	1987	67
Emydoidea_blandingii	175_1	1987	2
Emydoidea_blandingii	175_2	1987	2
Graptemys_geographica	101_1	1987	32
Lithobates_catesbeianus	247_2	1987	27
Lithobates_catesbeianus	248_3	1987	22
Ambystoma_maculatum	29_1	1988	30
Ambystoma_maculatum	30_2	1988	625
Ambystoma_maculatum	31_3	1988	1065
Chelydra_serpentina	172_1	1988	4
Chelydra_serpentina	173_2	1988	16
Chelydra_serpentina	725_4	1988	47
Chelydra_serpentina	4090_7	1988	55
Emydoidea_blandingii	175_1	1988	13
Emydoidea_blandingii	175_2	1988	13
Graptemys_geographica	101_1	1988	50
Hyla_versicolor	32_1	1988	26
Ambystoma_maculatum	29_1	1989	20
Ambystoma_maculatum	30_2	1989	520
Ambystoma_maculatum	31_3	1989	850
Chelydra_serpentina	172_1	1989	6
Chelydra_serpentina	173_2	1989	12
Chelydra_serpentina	725_4	1989	41
Chelydra_serpentina	4090_7	1989	55
Emydoidea_blandingii	175_1	1989	16
Emydoidea_blandingii	175_2	1989	16
Glyptemys_insculpta	177_2	1989	16
Graptemys_geographica	101_1	1989	21
Hyla_versicolor	32_1	1989	36
Ambystoma_maculatum	29_1	1990	3
Ambystoma_maculatum	30_2	1990	680
Ambystoma_maculatum	31_3	1990	234
Chelydra_serpentina	725_4	1990	42
Chelydra_serpentina	4090_7	1990	58
Emydoidea_blandingii	175_1	1990	2
Emydoidea_blandingii	175_2	1990	2
Glyptemys_insculpta	177_2	1990	52
Graptemys_geographica	101_1	1990	50
Hyla_versicolor	32_1	1990	19
Lithobates_catesbeianus	198_1	1990	42
Lithobates_catesbeianus	247_2	1990	33.33333
Lithobates_catesbeianus	248_3	1990	20
Ambystoma_maculatum	29_1	1991	20
Ambystoma_maculatum	30_2	1991	653
Ambystoma_maculatum	31_3	1991	380
Chelydra_serpentina	725_4	1991	41
Chelydra_serpentina	775_6	1991	121
Chelydra_serpentina	4090_7	1991	60
Emydoidea_blandingii	175_1	1991	4
Emydoidea_blandingii	175_2	1991	4
Graptemys_geographica	101_1	1991	7
Hyla_versicolor	32_1	1991	77
Lithobates_catesbeianus	198_1	1991	15
Lithobates_catesbeianus	247_2	1991	32.33333
Lithobates_catesbeianus	248_3	1991	19.33333
Sternotherus_odoratus	351_1	1991	57
Chelydra_serpentina	725_4	1992	44
Chelydra_serpentina	4090_7	1992	57
Emydoidea_blandingii	175_1	1992	5
Emydoidea_blandingii	175_2	1992	5
Graptemys_geographica	101_1	1992	4
Hyla_versicolor	32_1	1992	30
Lithobates_catesbeianus	247_2	1992	9.66667
Lithobates_catesbeianus	248_3	1992	29.33333
Sternotherus_odoratus	351_1	1992	20
Chelydra_serpentina	725_4	1993	41
Chelydra_serpentina	4090_7	1993	59
Emydoidea_blandingii	175_1	1993	12
Emydoidea_blandingii	175_2	1993	12
Graptemys_geographica	101_1	1993	8
Hyla_versicolor	32_1	1993	64
Lithobates_catesbeianus	247_2	1993	42
Lithobates_catesbeianus	248_3	1993	17.66667
Sternotherus_odoratus	351_1	1993	165
Chelydra_serpentina	725_4	1994	37
Chelydra_serpentina	775_6	1994	186
Chelydra_serpentina	4090_7	1994	50
Emydoidea_blandingii	175_1	1994	17
Emydoidea_blandingii	175_2	1994	17
Graptemys_geographica	101_1	1994	25
Sternotherus_odoratus	351_1	1994	178
Anaxyrus_americanus	289_1	1995	53.7
Anaxyrus_americanus	289_2	1995	53.7
Anaxyrus_americanus	290_3	1995	67.8
Anaxyrus_americanus	290_4	1995	67.8
Anaxyrus_americanus	291_5	1995	96.1
Anaxyrus_americanus	291_6	1995	96.1
Chelydra_serpentina	725_4	1995	34
Chelydra_serpentina	4090_7	1995	52
Emydoidea_blandingii	175_1	1995	16
Emydoidea_blandingii	175_2	1995	16
Glyptemys_insculpta	171_1	1995	52.4
Hyla_versicolor	292_3	1995	71.8
Hyla_versicolor	293_4	1995	73.1
Hyla_versicolor	294_5	1995	76.7
