ID,min_year,max_year
2105_15,2010,2013
2106_16,2001,2013
2107_1,2008,2009
2108_2,2008,2010
2109_3,2008,2009
215_39,1973,2001
215_40,1973,2001
2197_5,2005,2016
2197_6,2005,2016
2198_7,1994,2014
2198_8,1994,2014
2199_10,1994,2014
2199_9,1994,2014
2200_11,1997,2014
2200_12,1997,2014
2201_13,1994,2014
2201_14,1994,2014
2202_15,1994,2014
2202_16,1994,2014
2203_17,1994,2014
2203_18,1994,2014
2204_19,1994,2014
2204_20,1994,2014
2205_21,1994,2014
2205_22,1994,2014
2206_23,1994,2014
2206_24,1994,2014
2207_25,1994,2014
2207_26,1994,2014
2208_27,1994,2014
2208_28,1994,2014
2209_29,1994,2014
2209_30,1994,2014
2210_31,1994,2014
2210_32,1994,2014
2211_13,2005,2016
2211_14,2005,2016
2212_15,1970,2014
2212_16,1970,2014
2213_17,2008,2014
2213_18,2008,2014
2214_19,1987,2014
2214_20,1987,2014
2215_21,1987,2014
2215_22,1987,2014
2216_23,1987,2014
2216_24,1987,2014
2217_25,1990,2014
2217_26,1990,2014
2218_27,1990,2014
2218_28,1990,2014
2219_29,1987,2014
2219_30,1987,2014
2220_31,1987,2014
2220_32,1987,2014
2468_2,1987,1990
2469_3,1987,1990
2470_4,1987,1990
2471_5,1987,1990
2472_6,1987,1990
2473_7,1987,1990
2474_8,1987,1990
2475_9,1987,1990
2476_10,1987,1990
2477_11,1987,1990
2478_12,1987,1990
255_1,1989,2000
2559_67,1983,2008
2559_68,1983,2008
2560_69,1980,2016
2560_70,1980,2016
2561_71,1980,2016
2561_72,1980,2016
2562_73,1976,1980
2562_74,1976,1980
2563_75,1982,2008
2563_76,1982,2008
2564_77,1987,2014
2564_78,1987,2014
2565_79,1987,2014
2565_80,1987,2014
2566_81,1987,2014
2566_82,1987,2014
2567_83,1987,2014
2567_84,1987,2014
2568_85,1987,2014
2568_86,1987,2014
2569_87,1987,2014
2569_88,1987,2014
2570_89,1987,2014
2570_90,1987,2014
2571_91,1996,2001
2571_92,1996,2001
2572_93,1980,2015
2572_94,1980,2015
2573_95,1987,2015
2573_96,1987,2015
2574_97,1986,2015
2574_98,1986,2015
2575_100,2000,2013
2575_99,2000,2013
2576_101,2006,2012
2576_102,2006,2012
2577_103,1972,2013
2577_104,1972,2013
2578_105,1970,2015
2578_106,1970,2015
2579_107,1971,2011
2579_108,1971,2011
2580_109,1996,2011
2580_110,1996,2011
259_1,1993,2005
260_5,1993,2005
261_2,1997,2005
262_6,1997,2005
264_10,1987,1996
264_9,1987,1996
2990_29,2011,2017
2990_30,2011,2017
2991_111,1997,2020
2991_112,1997,2020
2992_16,1987,2014
2993_17,2009,2015
2994_7,2009,2015
2994_8,2009,2015
2994_9,2009,2015
3000_113,1985,1995
3000_114,1985,1995
3001_115,1995,2002
3001_116,1995,2002
3003_117,1984,1991
3003_118,1984,1991
3007_119,1987,2015
3007_120,1987,2015
3008_46,2008,2018
3008_47,2008,2018
3008_48,2008,2018
3009_17,2008,2009
3011_23,2014,2017
3012_33,2014,2017
3012_34,2014,2017
3013_3,2014,2017
3013_4,2014,2017
3014_19,2014,2017
3014_20,2014,2017
3024_121,1991,2014
3024_122,1991,2014
307_1,1986,1993
307_2,1986,1993
3082_1,2016,2022
3083_24,1999,2022
3133_18,1983,2020
3138_31,2002,2016
3138_32,2002,2016
3139_1,2002,2017
3139_2,2002,2017
3140_9,2013,2017
3152_19,2001,2015
3154_49,1970,2015
3154_50,1970,2015
3154_51,1970,2015
3156_123,1995,2014
3156_124,1995,2014
3158_6,1999,2016
316_3,1993,2002
316_4,1993,2002
317_5,1993,2002
317_6,1993,2002
3183_52,2001,2016
3183_53,2001,2016
3183_54,2001,2016
3195_125,2005,2015
3195_126,2005,2015
320_1,1993,2002
3207_20,2001,2015
3225_25,1971,2017
3226_26,1971,2017
3258_127,1985,2007
3258_128,1985,2007
3259_129,1985,2014
3259_130,1985,2014
329_2,1993,2002
3309_21,1981,2020
3311_55,1998,2017
3311_56,1998,2017
3311_57,1998,2017
344_1,1997,1999
345_1,1997,1999
346_7,1990,1992
347_1,1990,1992
347_2,1990,1992
3676_22,1999,2019
3910_27,2015,2022
3911_28,2011,2011
3918_29,2015,2022
3919_30,2011,2011
3924_31,2015,2022
3925_32,2011,2011
393_1,1993,2004
393_2,1993,2004
3965_23,2018,2020
3969_24,2011,2012
3973_25,2015,2022
3974_26,2015,2022
3976_27,2018,2020
3980_28,2011,2012
3984_29,2015,2022
3985_30,2015,2022
3987_31,2018,2020
399_2,1995,2004
3991_32,2011,2012
3995_33,2015,2022
3996_34,2015,2022
3997_35,1996,2017
400_1,1983,1997
401_2,1983,1997
402_3,1989,1997
403_4,1985,1997
404_5,1983,1997
4047_31,2013,2014
4047_32,2013,2014
405_6,1983,1997
4057_33,2013,2014
4057_34,2013,2014
406_7,1985,1997
4067_35,2013,2014
4067_36,2013,2014
407_8,1990,1997
408_9,1983,1993
4087_33,1984,2022
4087_34,1984,2022
4088_35,1984,2022
4088_36,1984,2022
409_1,1978,1981
4094_3,1977,2018
4094_4,1977,2018
410_1,1999,2002
4101_58,1999,2019
4101_59,1999,2019
4101_60,1999,2019
411_1,1999,2002
411_2,1999,2002
412_3,1999,2002
412_4,1999,2002
413_2,1999,2002
414_3,1999,2002
417_7,1994,1998
417_8,1994,1998
419_1,2001,2003
420_3,1978,1981
423_10,1999,2005
423_9,1999,2005
430_1,1971,1973
431_2,1971,1974
433_3,1971,1974
434_8,1971,1973
451_1,1995,1997
451_2,1995,1997
460_1,1995,1997
460_2,1995,1997
461_3,1996,1997
461_4,1996,1997
462_11,1996,1997
462_12,1996,1997
463_13,1996,1997
463_14,1996,1997
464_15,1996,1997
464_16,1996,1997
465_5,1996,1997
465_6,1996,1997
466_1,1996,1997
467_2,1996,1997
474_11,2002,2004
474_12,2002,2004
475_13,2002,2004
475_14,2002,2004
476_15,2002,2004
476_16,2002,2004
477_3,1997,1998
477_4,1997,1998
478_5,1996,1997
478_6,1996,1997
482_41,1972,1997
482_42,1972,1997
483_17,1973,1977
483_18,1973,1977
485_3,1973,1977
486_4,1973,1977
