ID,min_year,max_year
445,1995,2009
452,1992,2002
453,1981,2009
454,1988,2009
455,1970,2010
456,1970,2010
457,1970,2010
458,1970,2010
459,1995,2001
484,2005,2008
489,2005,2008
490,2001,2007
491,2008,2012
492,2008,2013
493,2008,2013
494,2009,2013
495,2008,2012
496,2008,2012
497,2008,2013
498,2008,2013
499,2009,2013
500,2010,2012
501,2009,2013
502,2009,2013
504,1970,2014
505,1999,2006
506,1999,2006
508,1999,2006
509,1980,2008
510,1996,2009
511,1996,2009
512,1996,2009
513,1996,2008
514,1995,2009
515,1995,2009
516,1970,1980
517,1983,2008
518,1996,2004
519,1995,2004
520,1984,2003
521,1997,2005
522,1997,2005
523,1997,2005
524,1971,1994
525,1996,2006
526,1986,1992
550,1996,2007
551,1996,2007
552,1996,2003
553,1996,2007
583,1997,2006
585,1971,2007
587,1987,2000
589,1970,2001
590,1970,2010
591,1987,2010
592,1990,2012
593,1994,2010
594,1990,2010
595,1988,2009
596,1988,2009
597,1982,2009
598,1971,2011
599,1985,2012
600,1970,2012
601,1972,2012
602,1982,2009
608,1979,2004
623,1994,2012
624,1991,2008
627,1999,2005
628,1999,2005
630,2002,2011
631,1997,2011
632,2002,2011
634,1997,2011
635,2001,2011
636,1997,2011
637,1984,2003
641,1984,2003
643,1984,2003
646,2002,2003
647,2002,2003
648,2002,2003
649,2002,2003
650,2002,2003
651,2002,2003
653,2002,2003
654,2002,2003
656,2002,2003
657,2002,2003
659,1984,2003
666,1984,2003
668,1984,2003
669,1984,2003
670,1984,2003
671,1984,2003
672,1984,2003
673,1984,2003
674,1984,2003
675,1984,2003
676,1984,2003
677,1984,2003
678,1984,2003
679,1989,1998
696,1970,1994
697,1970,1994
707,1970,1994
710,1970,1994
711,1970,1994
712,1970,1994
716,1970,1994
717,2006,2011
740,1996,2018
741,1985,2018
742,1990,2020
743,1973,2019
744,1987,2019
776,2005,2011
777,1992,1999
778,2006,2016
779,2009,2013
780,2012,2016
781,2007,2013
793,2007,2016
794,2004,2014
795,1975,1986
796,1977,1984
797,1980,1992
798,1971,1993
799,1970,1994
800,1971,1994
801,1987,1993
802,1971,2016
803,1996,2022
804,1996,2022
805,1977,1993
806,1970,1994
807,1981,1994
808,1988,1993
809,1972,2016
810,1997,2022
811,1995,2022
812,1978,1991
813,1978,1991
814,1970,1994
815,1970,1994
816,1970,1994
817,1970,1994
818,1972,1994
819,1970,1994
820,1970,1994
821,1972,1994
822,1970,1994
823,1970,1994
824,1970,1994
825,1970,1994
826,1971,1994
827,1980,1993
828,1971,2016
829,1995,2022
830,1995,2022
832,2004,2008
833,2005,2008
834,2005,2009
835,2009,2010
836,2004,2009
837,2005,2010
838,2008,2010
839,2011,2014
840,2011,2014
841,2011,2014
842,2011,2014
843,1970,1994
844,1975,1994
845,1970,1994
846,1979,1993
847,1980,1989
848,1977,2016
849,1970,1981
850,1983,1994
851,1995,2022
852,2000,2022
853,2003,2015
854,2005,2015
855,2004,2014
856,1978,1988
857,1977,1988
858,1970,1994
859,1970,1994
860,1973,1993
861,1970,1994
862,1973,1994
863,1974,1990
864,1970,1993
865,1973,1992
866,1982,1987
867,1974,2010
868,1995,2020
869,1970,1981
870,1982,1994
871,1995,2016
872,1978,1991
873,1977,1991
874,1970,1994
875,1970,1994
876,1970,1994
877,1970,1994
878,1971,1994
879,1970,1994
880,1971,1994
881,1972,1994
882,1972,1993
883,1980,1993
884,1971,2016
885,1970,1981
886,1982,1994
887,1995,2022
888,1970,1981
889,1982,1994
890,1995,2022
891,1978,1991
892,1977,1991
893,1970,1994
894,1970,1994
895,1973,1981
896,1970,1994
897,1977,1993
898,1970,1993
899,1971,1994
900,1972,1990
901,1970,1994
902,1973,1991
903,1979,1990
904,1981,2015
905,1996,2008
906,2003,2015
907,2005,2013
908,2004,2016
909,2003,2015
910,2003,2021
911,2005,2015
912,2005,2021
913,2004,2016
914,2006,2016
917,2006,2016
918,1978,1988
919,1978,1988
920,1973,1994
921,1970,1994
922,1977,1994
923,1976,1994
924,1982,1987
925,2004,2010
926,2004,2010
927,2009,2010
928,2004,2010
929,2005,2010
930,2005,2010
931,2009,2010
932,2004,2010
933,2008,2010
934,2004,2010
935,2008,2010
936,2008,2010
937,2006,2010
938,2004,2010
939,2004,2010
940,2009,2010
941,2004,2010
942,2004,2010
943,2005,2010
944,2004,2010
945,2005,2010
946,2009,2010
947,2004,2010
948,2006,2010
949,2005,2009
950,2004,2010
951,2007,2010
952,2004,2010
953,2008,2010
954,2004,2010
955,2007,2010
956,2004,2010
957,2009,2010
958,2005,2010
959,2004,2010
960,2011,2014
961,2011,2014
962,2011,2014
963,2011,2014
964,2011,2014
965,2011,2014
966,2011,2014
967,2011,2014
968,2011,2014
969,2011,2014
970,2011,2014
971,2011,2014
972,2011,2014
973,2011,2014
974,2011,2014
975,2011,2014
976,2011,2014
977,2011,2014
978,2011,2014
979,2011,2014
980,2011,2014
981,2011,2014
982,2011,2014
983,2011,2014
984,2011,2014
985,2011,2014
986,2011,2014
987,2011,2014
988,2011,2014
989,2011,2014
990,2011,2014
991,2004,2013
992,2004,2016
993,2006,2016
994,1973,1986
995,1970,1994
996,1971,1994
997,1970,1994
998,1971,1994
999,1980,1994
1000,1978,1988
1001,1977,1994
1002,1970,1994
1003,1970,1994
1004,1980,1993
1005,1995,2022
1006,1970,1981
1007,1982,1994
1008,1995,2022
1009,1976,1980
1010,1985,1989
1011,1985,1989
1012,1984,1994
1013,1984,1993
1014,1970,1994
1015,1970,1994
1016,1970,1994
1017,1971,1994
1018,1987,1993
1019,1971,2016
1020,1978,1991
1021,1978,1991
1022,1970,1994
1023,1970,1994
1024,1972,1993
1025,1970,1993
1026,1974,1994
1027,1972,1990
1028,1972,1988
1029,1970,1994
1030,1970,1994
1031,1970,1994
1032,1970,1994
1033,1982,1993
1034,1984,1993
1035,1972,2016
1036,2003,2021
1037,2005,2015
1038,2005,2021
1039,2004,2016
1040,2006,2016
1041,2003,2013
1042,2008,2012
1043,2006,2016
1044,2005,2015
1045,2007,2015
1046,2006,2016
1047,2006,2016
1048,1974,1994
1049,1978,1994
1050,1991,1994
1051,1982,1994
1052,1982,1986
1053,2011,2015
1054,2006,2012
1055,2004,2015
1056,2007,2015
1057,2008,2012
1058,2006,2016
1059,2003,2021
1060,2005,2021
1061,2004,2016
1062,2006,2016
1063,2004,2013
1064,2006,2007
1065,1978,1988
1066,1978,1988
1067,1971,1994
1068,1980,1994
1069,1973,1993
1070,1974,1994
1071,1973,1993
1072,1974,1989
1073,1973,1990
1074,1976,1992
1075,1973,1991
1076,2003,2005
1077,2006,2016
1078,2003,2021
1079,2005,2021
1080,2004,2016
1081,2006,2016
1093,1978,1991
1094,1978,1991
1095,1970,1994
1096,1974,1994
1097,1975,1994
1098,1974,1994
1099,1974,1994
1100,1973,1994
1101,1976,2014
1102,2006,2016
1103,1978,1986
1104,1973,1989
1105,1973,1987
1106,1978,1983
1107,1976,1994
1108,1970,1992
1109,1970,1993
1110,1971,1992
1111,1980,1993
1112,1995,2019
1113,1970,1981
1114,1982,1994
1115,1995,2022
1116,2003,2015
1117,2006,2014
1130,2008,2012
1131,2012,2016
1132,2007,2015
1133,2007,2012
1134,2003,2015
1135,2004,2014
1136,2006,2016
1137,1985,1992
1138,1987,1994
1139,1988,1994
1140,1977,1994
1141,1987,1994
1142,1987,1992
1143,1978,1988
1144,1978,1988
1145,1973,1994
1146,1970,1994
1147,1977,1994
1148,1973,1994
1149,1972,1994
1150,1973,1994
1151,1977,1994
1152,1982,1994
1153,1982,1987
1154,1983,1987
1155,1976,2013
1156,1999,2022
1157,1995,2005
1171,2004,2015
1172,2006,2014
1173,2006,2016
1174,1978,1991
1175,1973,1994
1176,1973,1994
1177,1989,1994
1178,1982,1994
1179,1983,1994
1180,1983,1987
1181,1983,1987
1182,1982,1994
1183,1976,1985
1184,1982,1987
1185,1985,1987
1186,2004,2015
1187,2005,2015
1188,1980,1994
1193,1979,1994
1194,1986,1991
1195,1995,2022
1196,1995,2022
1197,2003,2021
1198,2005,2021
1199,2004,2016
1200,2005,2015
1201,1970,1985
1202,1975,1994
1203,1972,1994
1204,1971,1994
1205,1986,1993
1206,1971,2016
1207,1970,1981
1208,1982,1994
1209,1995,2022
1210,1970,1981
1211,1982,1994
1212,1995,2022
1213,2003,2021
1214,2005,2021
1215,2002,2006
1216,2002,2006
1217,2003,2006
1218,2006,2016
1219,2006,2016
1220,1978,1988
1221,1978,1991
1222,1973,1994
1223,1970,1994
1224,1977,1994
1225,1975,1994
1226,1981,1987
1227,1979,1987
1228,1979,1986
1229,2010,2014
1230,1978,1991
1231,1978,1991
1232,1971,1994
1233,1987,1993
1234,1974,1993
1235,1978,1992
1236,1978,1992
1237,1970,1992
1238,1979,1994
1239,1978,1993
1240,1982,2005
1241,1978,1994
1242,1983,1989
1244,2013,2015
1245,1978,1994
1246,1978,1994
1247,1970,1994
1248,1980,1993
1249,1978,1994
1250,1970,1994
1251,1978,1994
1252,1971,1994
1253,1971,1994
1254,1973,2016
1255,1995,2019
1256,1996,2022
1257,1978,1991
1258,1977,1991
1259,1970,1994
1260,1970,1994
