year,CI_low,CI_high,LPI_final,type
1992,0.935336090499582,1.09401230180009,1.01129643374926,onepercent_mean
1993,0.940158390096726,1.1046858694338,1.01856520698679,onepercent_mean
1994,0.94570365376495,1.11598847075176,1.02725092940674,onepercent_mean
1995,0.94504091457441,1.11848831018042,1.027720182796,onepercent_mean
1996,0.947434944201659,1.12493392901068,1.03182745637842,onepercent_mean
1997,0.942461711796414,1.1226628143961,1.02847576667461,onepercent_mean
1998,0.932632733634106,1.11516831627382,1.01907471772403,onepercent_mean
1999,0.919720200593868,1.10491663772517,1.00745570439325,onepercent_mean
2000,0.909031604658138,1.09555578522693,0.997667308382172,onepercent_mean
2001,0.904081618434499,1.09460280867536,0.99430017703854,onepercent_mean
2002,0.900422296062999,1.0951599147032,0.99208973437792,onepercent_mean
2003,0.895386610520725,1.09334511017938,0.989110611287137,onepercent_mean
2004,0.895670200365025,1.0959880086798,0.990468989509072,onepercent_mean
2005,0.899712266939861,1.10243674471018,0.995544107327097,onepercent_mean
2006,0.899730302362284,1.1066589548218,0.997515682787111,onepercent_mean
2007,0.899620217246647,1.10939396212246,0.99885219458943,onepercent_mean
2008,0.894845610877175,1.10716079641467,0.995231671910394,onepercent_mean
2009,0.888905651343141,1.10442189967502,0.990122734227285,onepercent_mean
2010,0.883826516093001,1.10227092716293,0.986776188593527,onepercent_mean
2011,0.883085831271469,1.10340853913059,0.986992080703202,onepercent_mean
2012,0.881119248755746,1.10389883387805,0.986686587011139,onepercent_mean
2013,0.882271381461047,1.10878289104804,0.989496413030883,onepercent_mean
2014,0.885309790515319,1.11536755695663,0.99408403703123,onepercent_mean
2015,0.88992075163962,1.12469226936095,1.00091124585851,onepercent_mean
2016,0.892938938791917,1.13088305026889,1.00564586695361,onepercent_mean
2017,0.890009097908075,1.12867865850272,1.00313412365136,onepercent_mean
2018,0.886823765706433,1.12771769333292,1.0005238027427,onepercent_mean
2019,0.892054886890199,1.13738124715352,1.00802455425,onepercent_mean
2020,0.898737893069031,1.14985732599457,1.01701515839578,onepercent_mean
2021,0.901343951036213,1.15521203195406,1.02079402165854,onepercent_mean
2022,0.894151293668982,1.15189622783199,1.0155956881844,onepercent_mean
1970,1,1,1,minimum
1971,1.00213305202845,1.01931495063639,1.01071359220241,minimum
1972,1.00160780806399,1.03326111324601,1.01755324652867,minimum
1973,0.996485330705046,1.04159485095756,1.01914627494962,minimum
1974,0.989583049885778,1.04594616927637,1.01752824581413,minimum
1975,0.979396118512273,1.04635567672796,1.01206286035536,minimum
1976,0.972677026038751,1.04610944463293,1.00855250701889,minimum
1977,0.966820842460783,1.04722392224697,1.00577451163326,minimum
1978,0.966598264738634,1.05318832991803,1.00883751192396,minimum
1979,0.97137566719297,1.06266528528797,1.01608357609141,minimum
1980,0.9780099513296,1.07437958040118,1.0253076643404,minimum
1981,0.98259787240278,1.08382203422245,1.03217407905059,minimum
1982,0.980305715516663,1.08747394442731,1.03266833481135,minimum
1983,0.977597046123424,1.09061483148669,1.03263986557999,minimum
1984,0.975882045332994,1.09521707722902,1.03379867417214,minimum
1985,0.977285206002056,1.10052833084218,1.03724024347877,minimum
1986,0.976227500124641,1.10235304015969,1.0372228239763,minimum
1987,0.971604904799085,1.10066757849367,1.03423474477601,minimum
1988,0.969638569113946,1.10041268311765,1.03375587783278,minimum
1989,0.966513682654001,1.10041471394355,1.03215262761036,minimum
1990,0.964170293232845,1.10084461471352,1.03104072197299,minimum
1991,0.959298121423307,1.09953030668322,1.02765283917585,minimum
1992,0.955088877271447,1.10029671001417,1.02550738738841,minimum
1993,0.959251491656296,1.11012075704215,1.03211841318907,minimum
1994,0.965293429243609,1.12335296256976,1.04216506301636,minimum
1995,0.966746952087384,1.12745206655255,1.04517369464142,minimum
1996,0.9704903942936,1.13461636804881,1.05081326824152,minimum
1997,0.968510816824903,1.13476332819855,1.04996929657812,minimum
1998,0.957483349544027,1.12591436415133,1.04034887864713,minimum
1999,0.945292462298222,1.11560215429716,1.02855389715971,minimum
2000,0.936549313099632,1.10957342583798,1.02083387189846,minimum
2001,0.931656229374433,1.10784541881159,1.01710856680746,minimum
2002,0.927844783452571,1.10729706373216,1.01452095893295,minimum
2003,0.92402940014056,1.10591401402408,1.01175432635892,minimum
2004,0.923902416260376,1.10765242252774,1.01263901598954,minimum
2005,0.927499607178465,1.11433219471673,1.01737246902286,minimum
2006,0.927293641277027,1.11741072218939,1.01886888602531,minimum
2007,0.926952977642643,1.12036902971584,1.02011534774251,minimum
2008,0.922539320465901,1.11930570066616,1.01709228521454,minimum
2009,0.917886328862679,1.11593894634464,1.0124710291569,minimum
2010,0.913326391210914,1.11554400495594,1.00935156328678,minimum
2011,0.910566179936286,1.11602537980305,1.00789939956314,minimum
2012,0.907666552004503,1.11692431007286,1.00593964646574,minimum
2013,0.907122174440071,1.12011463183546,1.00697455754953,minimum
2014,0.908504647844261,1.1264487977573,1.01025102430639,minimum
2015,0.912352905379918,1.13540064316984,1.01626239954106,minimum
2016,0.914534993108205,1.14133015164761,1.02037118232943,minimum
2017,0.910397835261766,1.13855609248423,1.01683408348599,minimum
2018,0.905842171225518,1.13525267793396,1.01234321158549,minimum
2019,0.909368805736451,1.140524297215,1.01640794273506,minimum
2020,0.912731132457464,1.14860709379896,1.02275660676722,minimum
2021,0.915683090337406,1.15510759644467,1.0273889697293,minimum
2022,0.911222799401836,1.15493928664209,1.0250486669216201,minimum
1970,1,1,1,one
1971,1.00261885498756,1.01861811275218,1.01051124722714,one
1972,1.00280675336981,1.03222878345886,1.01743126724323,one
1973,0.998378444204591,1.04015808139724,1.01916383569146,one
1974,0.992826488342736,1.04524170160965,1.01854547158188,one
1975,0.984147054321789,1.04720216874041,1.01444106576685,one
1976,0.976057763918896,1.04582613428755,1.00992817706033,one
1977,0.967702877151048,1.04401727976147,1.0046578226771,one
1978,0.964303803883992,1.04561224061214,1.00361394965385,one
1979,0.965284185744086,1.0497083292313,1.00658097259537,one
1980,0.969862059232127,1.05774722370503,1.01299565635485,one
1981,0.972165984092123,1.0650605144786,1.0181492774331,one
1982,0.97007016905289,1.06804249077586,1.01813144003699,one
1983,0.967531766304403,1.07096823478006,1.01828455494996,one
1984,0.966493863761802,1.07593027336041,1.02020344237393,one
1985,0.968144005201245,1.08174093604317,1.02375784505368,one
1986,0.967320192236495,1.08454160015136,1.02459359063594,one
1987,0.963316928986566,1.08376914610041,1.02238894501306,one
1988,0.96214296257838,1.08513145875668,1.02253202222862,one
1989,0.959989247821465,1.08524277122819,1.0213030169176,one
1990,0.957344716879703,1.08623165507625,1.02007861979728,one
