"","LPI_final","CI_low","CI_high","zero_option","year"
"82",1.06375662116688,0.953700966478184,1.21321472670167,"min_value","2002"
"83",1.0772239390605,0.957343702485742,1.22362100559895,"min_value","2003"
"84",1.11715701242651,0.987314823206858,1.26000539401185,"min_value","2004"
"85",1.10988256133902,0.979159273225307,1.24185801343229,"min_value","2005"
"86",1.1165809728785,0.979601695494201,1.2467122022376,"min_value","2006"
"87",1.09016916172994,0.956258110236563,1.2178717601456,"min_value","2007"
"88",1.09273524548342,0.952653646801642,1.23225481400625,"min_value","2008"
"89",1.07438168877932,0.928119616509504,1.20904011665293,"min_value","2009"
"90",1.08482145411591,0.93563009033275,1.22583750151965,"min_value","2010"
"91",1.10017167489465,0.954396059861304,1.22826662713178,"min_value","2011"
"92",1.10419889957099,0.954021963721678,1.23843250931671,"min_value","2012"
"93",1.07742597153143,0.940676800103224,1.20571281126494,"min_value","2013"
"94",1.04285384474241,0.912433375462748,1.16903159897341,"min_value","2014"
"95",1.05037195670421,0.91803586606329,1.1724082099745,"min_value","2015"
"96",1.06098313190544,0.941888352707273,1.18980753062577,"min_value","2016"
"97",1.05728942322349,0.931931268080387,1.17751313115612,"min_value","2017"
"98",1.07170492857008,0.938468418241236,1.20590876487789,"min_value","2018"
"99",1,1,1,"plusone","1970"
"100",1.02492273074302,1.01140481344333,1.03857890696008,"plusone","1971"
"101",1.04352157268293,1.02303413206732,1.06435429259495,"plusone","1972"
"102",1.06180829408417,1.03280886245862,1.08286960445162,"plusone","1973"
"103",1.06006761529529,1.02985873345639,1.08781717421835,"plusone","1974"
"104",1.07281759288535,1.03402873701768,1.10243176551545,"plusone","1975"
"105",1.07229056448331,1.03574711658092,1.10493680082667,"plusone","1976"
"106",1.06112838542344,1.02088693749764,1.10348008802709,"plusone","1977"
"107",1.05095214383211,1.01069843439259,1.09747526187191,"plusone","1978"
"108",1.0526802504051,1.00498159116528,1.09813559302957,"plusone","1979"
"109",1.07325067052802,1.02892642777112,1.12464351784894,"plusone","1980"
"110",1.07433346787082,1.02528470834921,1.13008887606156,"plusone","1981"
"111",1.07104992201422,1.02569304618931,1.12546388344446,"plusone","1982"
"112",1.0649198237033,1.01503147411984,1.12225787250465,"plusone","1983"
"113",1.08866036834316,1.03824303724512,1.15902760359156,"plusone","1984"
"114",1.09917177173155,1.04524193781812,1.17290221219079,"plusone","1985"
"115",1.09627232185026,1.03243862993361,1.15801104044992,"plusone","1986"
"116",1.08720233104842,1.02741461674379,1.14816993793308,"plusone","1987"
"117",1.08027949062358,1.01656415836355,1.15042169287593,"plusone","1988"
"118",1.09358107689886,1.03022996907603,1.16664913986984,"plusone","1989"
"119",1.09289803054694,1.02258543452285,1.17002973224218,"plusone","1990"
"120",1.10893480751626,1.03937827166281,1.19422334439293,"plusone","1991"
"121",1.09337157018302,1.02848245457383,1.17700766246191,"plusone","1992"
"122",1.11724152335153,1.04457668988628,1.20381191502635,"plusone","1993"
"123",1.09622065091767,1.02795419196157,1.1955986346314,"plusone","1994"
"124",1.10329174330053,1.0248014144799,1.20434040845399,"plusone","1995"
"125",1.09409628246497,1.01020368242245,1.19957586930693,"plusone","1996"
"126",1.08875431836954,1.0012014561572,1.19088850485922,"plusone","1997"
"127",1.07344431807064,0.996994028659666,1.18040718785273,"plusone","1998"
"128",1.05812184260382,0.97830763939005,1.1569599359682,"plusone","1999"
"129",1.05270791815143,0.972390357152164,1.1399964307159,"plusone","2000"
"130",1.04720742130691,0.962629643811288,1.14050703336738,"plusone","2001"
"131",1.02940237876087,0.937779292802003,1.12635587297032,"plusone","2002"
"132",1.03783155487149,0.954937908947338,1.14491429028116,"plusone","2003"
"133",1.07451273694683,0.983202395901783,1.19167858584952,"plusone","2004"
"134",1.07035496106129,0.966007386829976,1.18798616852144,"plusone","2005"
"135",1.07528411089547,0.969483075690257,1.19840974984274,"plusone","2006"
"136",1.05080131904034,0.946082345581776,1.17422428936117,"plusone","2007"
"137",1.05319212362598,0.956987135727015,1.16772913689127,"plusone","2008"
"138",1.03414325823126,0.937493027465042,1.14317911667296,"plusone","2009"
"139",1.04299153524668,0.938310444559399,1.15951474909074,"plusone","2010"
"140",1.05685881021257,0.949167733752877,1.18056620527027,"plusone","2011"
"141",1.05976485516694,0.953446119381639,1.17142367107357,"plusone","2012"
"142",1.03284083095421,0.936325206796518,1.1553001016742,"plusone","2013"
"143",0.998901929297429,0.898901188138905,1.11571940066594,"plusone","2014"
